"CountyName","GEOID","COUNTYNS","WHP_Score","County","State","DroughtRisk_Score"
"Roberts","48393","01383982",63.3,"Roberts County","TX",0
"El Dorado","06017","00277273",69,"El Dorado County","CA",0
"Hemphill","48211","01383891",60.8,"Hemphill County","TX",0.0567
"Richmond","37153","01008581",56.9,"Richmond County","NC",0.1
"Idaho","16049","00395699",68.6,"Idaho County","ID",0.119460916442049
"Perry","28111","00695778",59.5,"Perry County","MS",0.216459524597136
"Hancock","13141","00348209",58.1,"Hancock County","GA",0.09415
"Josephine","41033","01155133",70.1,"Josephine County","OR",0.103686598606385
"Nevada","06057","01682927",67.3,"Nevada County","CA",0
"Sierra","06091","00277310",72,"Sierra County","CA",0
"Gila","04007","00040471",66.4,"Gila County","AZ",0.312598069286153
"Talbot","13263","00326757",57.6,"Talbot County","GA",0.1
"Jones","13169","00345367",57.9,"Jones County","GA",0.1
"Schley","13249","00344129",57,"Schley County","GA",0.1
"Jefferson Davis","28065","00695756",59.6,"Jefferson Davis County","MS",0.3
"Marion","13197","00344107",57.7,"Marion County","GA",0.1
"Marion","28091","00695769",58.7,"Marion County","MS",0.266509709304588
"Lincoln","30053","01720038",64.6,"Lincoln County","MT",0.218824687192465
"Warren","13301","00347777",56.9,"Warren County","GA",0.03857
"Stone","28131","00695786",57.8,"Stone County","MS",0.2
"Lawrence","28077","00695762",58.4,"Lawrence County","MS",0.3
"Glascock","13125","00345642",56.4,"Glascock County","GA",0
"Missoula","30063","01719596",63,"Missoula County","MT",0.186383002897233
"Hoke","37093","01008563",53,"Hoke County","NC",0.1
"Wilkinson","13319","00346824",56.1,"Wilkinson County","GA",0.0528
"Teller","08119","00198175",65.4,"Teller County","CO",0
"Twiggs","13289","00345456",55.5,"Twiggs County","GA",0.0726
"Gem","16045","00395442",59.2,"Gem County","ID",0
"Lamar","28073","00695760",56.2,"Lamar County","MS",0.243249604176473
"Crawford","13079","00342918",56.7,"Crawford County","GA",0.1
"Ferry","53019","01531821",63.6,"Ferry County","WA",0.00886
"Jackson","41029","01135853",64.1,"Jackson County","OR",0.141923732754612
