"Unit ID","Subnational unit (province, state)","Latitude","Longitude","Status","Status year","Production/reserves","Fuel description","Data year","Quantity (converted)","Units (converted)"
"OG0012960","Alaska",61.188517,-151.0274,"operating",2022,"production","oil","2022.0",0,"million bbl/y"
"OG0012973","Alaska",70.32481918,-149.9454917,"operating",2022,"production","oil","2020.0",33.361528,"million bbl/y"
"OG0012977","Alaska",70.47476248,-149.5255,"operating",2022,"production","oil","2020.0",12.162669,"million bbl/y"
"OG0012987","Alaska",70.30912164,-148.6706638,"operating",2022,"production","oil","2020.0",78.550002,"million bbl/y"
"OG0014165","Louisiana",32.45878213,-93.55532614,"operating",2024,"production","oil","2022.0",0.000526,"million bbl/y"
"OG0014196","Federal offshore",27.244,-90.83325,"operating",2023,"production","oil","2023.0",23.421663,"million bbl/y"
"OG0014198","Federal offshore",26.10225,-92.0615,"operating",2023,"production","oil","2020.0",13.133233,"million bbl/y"
"OG0014199","Federal offshore",27.4085,-90.281,"operating",2023,"production","oil","2023.0",4.561484,"million bbl/y"
"OG0014202","Federal offshore",27.091,-90.8115,"operating",2023,"production","oil","2020.0",2.648226,"million bbl/y"
"OG0014203","Federal offshore",29.1095,-87.946,"operating",2023,"production","oil","2020.0",0.625926,"million bbl/y"
"OG0014213","West Virginia",39.41623545,-80.86408848,"operating",2023,"production","oil","2021.0",3.466868,"million bbl/y"
"OG0014214","West Virginia",39.28692158,-80.7158273,"operating",2023,"production","oil","2020.0",0.694443,"million bbl/y"
"OG0014216","West Virginia",39.25999806,-80.45571759,"operating",2023,"production","oil","2020.0",0.000158,"million bbl/y"
"OG0014217","West Virginia",39.66666667,-80.5,"operating",2023,"production","oil","2020.0",0.026539,"million bbl/y"
"OG0014219","Ohio",39.8811395,-81.3489624,"operating",2020,"production","oil","2021.0",0.177149,"million bbl/y"
"OG0014275","Federal offshore",28.22,-91.70625,"operating",2023,"production","oil","2023.0",1.679359,"million bbl/y"
"OG0014276","Federal offshore",27.999,-93.96,"operating",2023,"production","oil","2023.0",0.161302,"million bbl/y"
"OG0014300","Louisiana",29.49937299,-90.3637917,"operating",2024,"production","oil","2023.0",0.190989,"million bbl/y"
"OG0014317","Louisiana",30.26672879,-91.61433851,"operating",2024,"production","oil","2023.0",1.450705,"million bbl/y"
"OG0014324","Federal offshore",28.561,-88.434,"operating",2023,"production","oil","2023.0",3.757534,"million bbl/y"
"OG0014325","Federal offshore",28.999,-88.143,"operating",2023,"production","oil","2022.0",1.166691,"million bbl/y"
"OG0014342","Federal offshore",27.3354,-90.1144,"operating",2023,"production","oil","2022.0",13.722902,"million bbl/y"
"OG0014394","Federal offshore",28.211,-88.5525,"operating",2023,"production","oil","2023.0",11.378024,"million bbl/y"
"OG0014397","Federal offshore",28.462,-88.121,"operating",2023,"production","oil","2023.0",3.366153,"million bbl/y"
"OG0014398","Federal offshore",28.4535,-88.236,"operating",2023,"production","oil","2020.0",1.795104,"million bbl/y"
