"Unit ID","Subnational unit (province, state)","Latitude","Longitude","Status","Status year","Production/reserves","Fuel description","Data year","Quantity (converted)","Units (converted)"
"OG0012964","Alaska",70.33171813,-147.8799,"operating",2022,"production","gas","2020.0",3868.137817,"million m³/y"
"OG0012965","Alaska",60.96864728,-151.3313333,"operating",2022,"production","gas","2022.0",37.40863656,"million m³/y"
"OG0012967","Alaska",NA,NA,"operating",2022,"production","gas","2022.0",27.0363868,"million m³/y"
"OG0012976","Alaska",60.7722327,-151.5038,"operating",2022,"production","gas","2020.0",2.857680872,"million m³/y"
"OG0012980","Alaska",59.85049932,-151.5676667,"operating",2022,"production","gas","2022.0",3.095568455,"million m³/y"
"OG0012981","Alaska",60.17297863,-151.4790893,"operating",2022,"production","gas","2022.0",315.5435084,"million m³/y"
"OG0012982","Alaska",61.08167195,-150.9356,"operating",2022,"production","gas","2020.0",167.4991647,"million m³/y"
"OG0012988","Alaska",70.16943313,-146.3166757,"operating",2022,"production","gas","2022.0",1628.270338,"million m³/y"
"OG0012991","Alaska",60.74423906,-150.8633636,"operating",2022,"production","gas","2022.0",171.1335127,"million m³/y"
"OG0014168","Louisiana",32.34744363,-93.26162778,"operating",2024,"production","gas","2022.0",255.5135495,"million m³/y"
"OG0014160","Louisiana",32.07209127,-93.53142553,"operating",2024,"production","gas","2022.0",931.5821606,"million m³/y"
"OG0014163","Louisiana",32.26150483,-93.3162617,"operating",2024,"production","gas","2022.0",3747.434943,"million m³/y"
"OG0014165","Louisiana",32.45878213,-93.55532614,"operating",2024,"production","gas","2023.0",2419.565142,"million m³/y"
"OG0014196","Federal offshore",27.244,-90.83325,"operating",2023,"production","gas","2020.0",475.2794846,"million m³/y"
"OG0014199","Federal offshore",27.4085,-90.281,"operating",2023,"production","gas","2023.0",75.79292086,"million m³/y"
"OG0014203","Federal offshore",29.1095,-87.946,"operating",2023,"production","gas","2020.0",18.14379159,"million m³/y"
"OG0014214","West Virginia",39.28692158,-80.7158273,"operating",2023,"production","gas","2021.0",7489.100609,"million m³/y"
"OG0014215","West Virginia",39.27328159,-80.92867123,"operating",2023,"production","gas","2021.0",4190.803766,"million m³/y"
"OG0014216","West Virginia",39.25999806,-80.45571759,"operating",2023,"production","gas","2020.0",1632.609344,"million m³/y"
"OG0014217","West Virginia",39.66666667,-80.5,"operating",2023,"production","gas","2020.0",142.9224975,"million m³/y"
"OG0014275","Federal offshore",28.22,-91.70625,"operating",2023,"production","gas","2020.0",86.5123885,"million m³/y"
