County,GEOID,Latitude,Longitude,geometry,Gas Production Quantity,Oil Production Quantity,Wind Plant Capacity,Wildfire Hazard Potential Score,Drought Risk Score
Hawaii County,15001,18.978,-155.688,POINT (-155.688 18.978),,,0.3346448198081723,11.7,0.106040655090116
Maui County,15009,20.8001,-156.539,POINT (-156.539 20.8001),,,0.3346448198081723,10.0,0.181957055214724
Honolulu County,15003,21.6692,-157.9501,POINT (-157.9501 21.6692),,,0.3712597808545589,19.7,0.0447017343243758
Honolulu County,15003,21.6804,-157.982,POINT (-157.982 21.6804),,,0.3825054106133182,19.7,0.0447017343243758
,,26.10225,-92.0615,POINT (-92.0615 26.10225),,0.5785011007886054,,,
,,26.11466667,-94.91033333,POINT (-94.91033333 26.11466667),0.589351239079274,,,,
Cameron County,48061,26.1189,-97.3431,POINT (-97.3431 26.1189),,,0.540691461338779,10.3,0.0
,,26.168,-92.133,POINT (-92.133 26.168),0.3283956633753438,0.4972436812117287,,,
,,26.19166667,-91.44066667,POINT (-91.44066667 26.19166667),0.3149188455087482,,,,
Cameron County,48061,26.2499,-97.5118,POINT (-97.5118 26.2499),,,0.6423377638664154,10.3,0.0
Cameron County,48061,26.2736,-97.4961,POINT (-97.4961 26.2736),,,0.5986711578063881,10.3,0.0
Hidalgo County,48215,26.3767,-97.993,POINT (-97.993 26.3767),,,0.6687117599936161,16.8,0.0
,,26.401,-91.3575,POINT (-91.3575 26.401),0.2840806954024094,0.5524462395075665,,,
,48215,26.47058104,-98.41340104,POINT (-98.41340104 26.47058104),0.4593684940589344,,,16.8,0.0
,,26.4805,-90.775,POINT (-90.775 26.4805),0.3151116942984139,0.5594114261118068,,,
Starr County,48427,26.4905,-98.7305,POINT (-98.7305 26.4905),,,0.6444896541079361,33.0,0.0
Hidalgo County,48215,26.5381,-98.3375,POINT (-98.3375 26.5381),,,0.5473416939016906,16.8,0.0
Starr County,48427,26.5482,-98.7101,POINT (-98.7101 26.5482),,,0.6433831450052341,33.0,0.0
Zapata County,48505,26.6614,-99.0901,POINT (-99.0901 26.6614),,,0.6444896541079361,18.1,0.0
,,26.945,-94.705,POINT (-94.705 26.945),0.1628756866345671,0.1178098214069263,,,
Kenedy County,48261,26.9771,-97.6746,POINT (-97.6746 26.9771),,,0.6440757406177209,14.4,0.0
,48261,27.01652802,-97.85367897,POINT (-97.85367897 27.01652802),0.5074634197582767,,,14.4,0.0
,,27.091,-90.8115,POINT (-90.8115 27.091),,0.2826927185438892,,,
Zapata County,48505,27.0979,-99.3451,POINT (-99.3451 27.0979),,,0.6497617109705169,18.1,0.0
Kenedy County,48261,27.1246,-97.4706,POINT (-97.4706 27.1246),,,0.6447649159910247,14.4,0.0
,,27.1564,-90.3042,POINT (-90.3042 27.1564),0.4386578408061882,,,,
,,27.244,-90.83325,POINT (-90.83325 27.244),0.5462542878121156,0.6979660248908786,,,
Webb County,48479,27.3115,-98.9772,POINT (-98.9772 27.3115),,,0.674385619830713,10.1,0.02862
,,27.3354,-90.1144,POINT (-90.1144 27.3354),0.4283038654031322,0.5874292215204522,,,
,,27.35125,-90.73375,POINT (-90.73375 27.35125),0.5407550326114383,,,,
,,27.4085,-90.281,POINT (-90.281 27.4085),0.3559017528233363,0.3747853199981729,,,
Webb County,48479,27.4693,-99.0075,POINT (-99.0075 27.4693),,,0.5358252472012346,10.1,0.02862
,,27.472,-90.57633333,POINT (-90.57633333 27.472),0.4084066839605754,0.4980874385519628,,,
,,27.491,-90.071,POINT (-90.071 27.491),,0.5519093423123933,,,
Webb County,48479,27.5368,-98.9527,POINT (-98.9527 27.5368),,,0.6034661354873763,10.1,0.02862
,,27.537,-90.168,POINT (-90.168 27.537),0.4716964820646577,0.1550093762989219,,,
,,27.55033333,-92.43233333,POINT (-92.43233333 27.55033333),0.5247623261242856,0.3290928465954747,,,
Webb County,48479,27.5799,-98.8247,POINT (-98.8247 27.5799),,,0.6997373037376682,10.1,0.02862
,,27.7055,-91.118,POINT (-91.118 27.7055),,0.3844959568586999,,,
,,27.74933333,-90.73466667,POINT (-90.73466667 27.74933333),,0.1893027301150085,,,
,48479,27.85986171,-99.76608464,POINT (-99.76608464 27.85986171),0.6471630645181278,,,10.1,0.02862
,48479,27.87268445,-99.51998596,POINT (-99.51998596 27.87268445),0.5112237728903661,,,10.1,0.02862
San Patricio County,48409,27.9033,-97.4192,POINT (-97.4192 27.9033),,,0.6287563956881035,8.9,0.06927
,48479,27.91324989,-99.44965424,POINT (-99.44965424 27.91324989),0.4875914230823712,,,10.1,0.02862
,,27.924,-89.962,POINT (-89.962 27.924),0.4913058954837521,0.3450792521654865,,,
,48479,27.92619255,-99.33892773,POINT (-99.33892773 27.92619255),0.5727903611060947,,,10.1,0.02862
