County,STATE_NAME,State,STATEFP,COUNTYFP,GEOID,COUNTYNS,VH Acres,H Acres,M Acres,L Acres,VL Acres,NB Acres,W Acres,Total Acres,VH Pct,H Pct,H + VH Pct,M Pct,L Pct,VL Pct,NB Pct,W Pct,WHP Continuous Max,WHP Continuous Mean,WHP Class Min,WHP Class Max,WHP Class Mean,Conditional Flame Length Min,Conditional Flame Length Max,Conditional Flame Length Mean,Burn Probability Min,Burn Probability Max,Burn Probability Mean,None,D0,D1,D2,D3,D4
Roberts County,Texas,TX,48,393,48393,01383982,9385,486252,35289,17744,11997,30119,739,591526,2,82,84,6,3,2,5,0,22754,804.412796540489,0,5,3.63123551652639,0,18.0848808288574,4.85442989815399,0,0.043099999427795,0.027452396798774,46.25622641509434,53.74377358490566,45.195660377358486,39.867924528301884,17.161509433962262,0.0
El Dorado County,California,CA,06,017,06017,00277273,498285,429850,58726,7224,252,98266,51160,1143763,44,38,81,5,1,0,9,4,27281,3520.61991085631,0,5,4.02863831962144,0,25,6.20732914115918,0,0.036400001496077,0.012517729118771,81.40867924528301,18.591320754716982,11.421698113207547,3.4628301886792454,0.8169811320754716,0.0
Hemphill County,Texas,TX,48,211,48211,01383891,2900,458690,44549,22518,19419,34551,1153,583780,0,79,79,8,4,3,6,0,14148,690.564785385876,0,5,3.51402158117674,0,19.184492111206,4.60004664330746,0,0.032583333551884,0.024630898936286,23.45396226415094,76.54603773584905,51.045660377358494,36.52981132075472,13.685849056603773,0.0
Richmond County,North Carolina,NC,37,153,37153,01008581,16213,209701,19437,17077,0,41324,3351,307103,5,68,74,6,6,0,13,1,3001,1312.81604880338,0,5,3.33276005218835,0,11.8421049118041,2.32950863166629,0,0.005549999885261,0.001658786958399,50.528301886792455,49.471698113207545,17.520188679245283,4.39622641509434,0.0,0.0
Idaho County,Idaho,ID,16,049,16049,00395699,2500037,1471366,700096,299068,145391,305427,20608,5441993,46,27,73,13,5,3,6,0,107890,6309.62141192665,0,5,3.91587418675281,0,24.6949062347412,6.13758137391227,0,0.135799989104271,0.031695954897744,4.0692452830188675,95.93075471698113,68.90735849056604,0.07566037735849059,0.0,0.0
Perry County,Mississippi,MS,28,111,28111,00695778,54,304869,36785,52673,901,17402,3423,416105,0,73,73,9,13,0,4,1,2533,593.349409065329,0,5,3.48050984329305,0,10.8584909439086,2.07654179841998,0,0.008799999952316,0.003360015586812,61.240566037735846,38.759433962264154,35.37245283018868,31.232830188679245,17.32943396226415,0.14452830188679244
Hancock County,Georgia,GA,13,141,13141,00348209,0,219411,31921,21148,17492,11673,4269,305914,0,72,72,10,7,6,4,1,1481,482.993816982688,0,4,3.42520155270231,0,16.6774177551269,1.83484796865038,0,0.002550000092015,0.001059610178694,97.33415094339622,2.665849056603774,0.0,0.0,0.0,0.0
Josephine County,Oregon,OR,41,033,41033,01155133,458853,300239,193560,36803,2846,54384,3531,1050216,44,29,72,18,4,0,5,0,35205,5001.88030874785,0,5,3.96714511909677,0,24.6800022125244,7.81382025791682,0,0.04619999974966,0.016067295755182,24.140943396226415,75.8590566037736,25.180943396226414,0.0,0.0,0.0
Nevada County,California,CA,06,057,06057,01682927,273705,174592,92196,11799,90,59302,11403,623086,44,28,72,15,2,0,10,2,28335,3692.92529416865,0,5,3.86991989633641,0,24.5760173797607,6.48052866835451,0,0.033600002527237,0.0130374746761,78.81075471698114,21.189245283018867,17.056792452830187,4.748867924528302,0.35528301886792457,0.0
Sierra County,California,CA,06,091,06091,00277310,327891,109993,128296,24157,3062,17149,5242,615791,53,18,71,21,4,0,3,1,36328,5246.70793353615,0,5,4.12037883928835,0,24.7849044799804,7.45211572273468,0,0.045949999243021,0.019106404874437,80.20584905660377,19.794150943396225,16.994150943396228,3.7735849056603774,0.0,0.0
Gila County,Arizona,AZ,04,007,04007,00040471,952562,1240246,555930,153461,10322,134186,22373,3069081,31,40,71,18,5,0,4,1,38795,1867.21480642361,0,5,3.84310885117957,0,23.9183368682861,6.69497931112372,0,0.054966669529676,0.008300286046126,52.508867924528296,47.491132075471704,38.19396226415094,28.718301886792453,2.3988679245283016,0.0
Talbot County,Georgia,GA,13,263,13263,00326757,0,177762,19815,34245,10304,8593,2180,252899,0,70,70,8,14,4,3,1,1938,504.709594700479,0,4,3.38741198448053,0,18.139533996582,1.74737874583068,0,0.00304999994114,0.00138949355744,90.37905660377359,9.620943396226416,0.0,0.0,0.0,0.0
Jones County,Georgia,GA,13,169,13169,00345367,0,177438,25598,33956,0,13565,2432,252989,0,70,70,10,13,0,5,1,1498,646.841070919967,0,4,3.4102379754116,0,19.75,1.77498458806723,0,0.002050000010058,0.000870888496824,89.91283018867925,10.087169811320754,0.0,0.0,0.0,0.0
Schley County,Georgia,GA,13,249,13249,00344129,0,75190,12664,6827,1909,10016,685,107291,0,70,70,12,6,2,9,1,1002,517.094190732035,0,4,3.32358905035485,0,14,2.53409241481145,0,0.001750000054017,0.000650034923954,73.36528301886793,26.634716981132076,0.8233962264150944,0.0,0.0,0.0
Jefferson Davis County,Mississippi,MS,28,065,28065,00695756,0,182896,44188,18518,0,15528,576,261707,0,70,70,17,7,0,6,0,1443,845.152808370043,0,4,3.45108995584988,0,6.72413825988769,2.11127479764169,0,0.004449999891222,0.001976793092595,58.654150943396225,41.345849056603775,36.31867924528302,33.999245283018865,24.72245283018868,19.088301886792454
Marion County,Georgia,GA,13,197,13197,00344107,0,162901,38550,9043,5530,18050,883,234957,0,69,69,16,4,2,8,0,971,497.232308517977,0,4,3.37871325227025,0,16.5384635925292,2.9039319089738,0,0.00179999996908,0.000689381279264,66.95905660377359,33.04094339622642,1.4552830188679244,0.0,0.0,0.0
Marion County,Mississippi,MS,28,091,28091,00695769,18,243549,56492,26607,0,20464,3927,351057,0,69,69,16,8,0,6,1,1991,899.689706486043,0,5,3.44820965230928,0,8.38709640502929,2.11291716091201,0,0.008949999697506,0.002965743025513,51.68830188679245,48.31169811320755,38.35150943396226,34.80849056603773,27.053584905660376,16.362264150943396
Lincoln County,Montana,MT,30,053,30053,01720038,505617,1116075,532962,94898,20572,40027,41702,2351854,21,47,69,23,4,1,2,2,13610,1274.67561295065,0,5,3.80998424853009,0,24.9361686706542,6.82866426769779,0,0.018766667693853,0.005866192374149,0.0,100.0,89.98471698113207,40.9688679245283,7.309622641509433,0.0
Warren County,Georgia,GA,13,301,13301,00347777,0,127269,24787,11763,4648,13150,2036,183653,0,69,69,13,6,3,7,1,928,500.164884747424,0,4,3.36758579646895,0,11.8333339691162,1.85034870238442,0,0.002649999922141,0.001049803828557,99.13698113207548,0.8630188679245283,0.0,0.0,0.0,0.0
Stone County,Mississippi,MS,28,131,28131,00695786,198,195848,33668,40153,0,14267,2522,286657,0,68,68,12,14,0,5,1,2400,834.585621818638,0,5,3.39871933050149,0,9.1797752380371,2.40509701569974,0,0.011949999257922,0.005585813492663,50.164716981132074,49.835283018867926,37.687547169811324,33.79,26.15867924528302,9.923584905660379
Lawrence County,Mississippi,MS,28,077,28077,00695762,0,189093,41558,29615,0,15492,3225,278983,0,68,68,15,11,0,6,1,1449,744.370956285912,0,4,3.40978573295007,0,8.51111125946044,1.98156763938919,0,0.005499999970198,0.002025221158297,56.56415094339623,43.43584905660377,37.59849056603774,34.78547169811321,26.853584905660377,21.03547169811321
Glascock County,Georgia,GA,13,125,13125,00345642,0,62635,9890,9926,18,9313,594,92376,0,68,68,11,11,0,10,1,997,557.090093603746,0,4,3.26947988223748,0,13.3333330154418,2.30819829512684,0,0.002250000135973,0.000632078784999,100.0,0.0,0.0,0.0,0.0,0.0
Missoula County,Montana,MT,30,063,30063,01719596,271345,871499,367990,70795,4792,72272,16357,1675050,16,52,68,22,4,0,4,1,25164,1255.59476695415,0,5,3.67341818892675,0,23.88032913208,4.47304944429979,0,0.040200002491474,0.010239522893964,3.9549056603773582,96.04509433962265,60.695660377358486,3.6216981132075468,0.0,0.0
Hoke County,North Carolina,NC,37,093,37093,01008563,16375,151192,17744,9818,0,54636,919,250683,7,60,67,7,4,0,22,0,3385,1361.58508192008,0,5,3.04089433826181,0,14.8484849929809,2.70313094979937,0,0.005750000011176,0.002256320064221,54.39132075471698,45.60867924528302,15.40245283018868,5.660377358490566,0.0,0.0
